obs_wl_vac(nm)	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"108.497494482"	"0.000000012"	""	"1.5091e+08"	AA	"(329185.15110923)"	"(421353.178101)"	"2p"	"2P*"	"3/2"	"5d"	"2D"	"5/2"		"T7771"	""	
""	"108.497641561"	"0.000000012"	""	"2.5150e+07"	AA	"(329185.15110923)"	"(421353.053159)"	"2p"	"2P*"	"3/2"	"5d"	"2D"	"3/2"		"T7771"	""	
""	"108.498046495"	"0.000000011"	""	"1.3762e+07"	AA	"(329185.15110923)"	"(421352.709172)"	"2p"	"2P*"	"3/2"	"5s"	"2S"	"1/2"		"T7771"	""	
""	"121.508809287"	"0.000000018"	""	"2.7523e+08"	AA	"(329179.2939406)"	"(411477.853680)"	"2p"	"2P*"	"1/2"	"4d"	"2D"	"3/2"		"T7771"	""	
""	"121.509499015"	"0.000000013"	""	"1.5479e+08"	AA	"(329179.762313)"	"(411477.8548989)"	"2s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"		"T7771"	""	
""	"121.509801355"	"0.000000013"	""	"1.3762e+07"	AA	"(329179.2939406)"	"(411477.1817529)"	"2p"	"2P*"	"1/2"	"4s"	"2S"	"1/2"		"T7771"	""	
""	"121.510580003"	"0.000000013"	""	"1.5481e+08"	AA	"(329179.762313)"	"(411477.1227550)"	"2s"	"2S"	"1/2"	"4p"	"2P*"	"1/2"		"T7771"	""	
""	"121.517097314"	"0.000000018"	""	"3.3023e+08"	AA	"(329185.15110923)"	"(411478.097707)"	"2p"	"2P*"	"3/2"	"4d"	"2D"	"5/2"		"T7771"	""	
""	"121.517457655"	"0.000000018"	""	"5.5036e+07"	AA	"(329185.15110923)"	"(411477.853680)"	"2p"	"2P*"	"3/2"	"4d"	"2D"	"3/2"		"T7771"	""	
""	"121.518449864"	"0.000000013"	""	"2.7534e+07"	AA	"(329185.15110923)"	"(411477.1817529)"	"2p"	"2P*"	"3/2"	"4s"	"2S"	"1/2"		"T7771"	""	
